# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

p 2 0 1045 11 8042 1477
b 3 0 1056 0 872 654
b 3 0 1056 0 952 695
p 2 0 968 88 6835 1404
b 3 0 1056 0 802 616
b 3 0 1056 0 967 758
p 2 0 1044 12 8044 1481
b 3 0 1056 0 1267 1042
b 3 0 1056 0 1537 907
p 2 0 1030 26 5340 1339
b 3 0 1056 0 793 723
b 3 0 1056 0 862 790
p 2 0 960 96 5014 1313
b 3 0 1056 0 1100 889
b 3 0 1056 0 1271 867
p 2 0 1030 26 5002 1363
b 3 0 1056 0 2433 1337
b 3 0 1056 0 2413 1207
p 2 0 1024 32 7989 1432
b 3 0 1056 0 1166 776
b 3 0 1056 0 1084 959
p 2 0 1021 35 7211 1454
b 3 0 1056 0 690 667
b 3 0 1056 0 704 679
p 2 0 929 127 4220 1280
b 3 0 1056 0 522 512
b 3 0 1056 0 645 624
p 2 0 933 123 4216 1319
b 3 0 1056 0 541 532
b 3 0 1056 0 650 637
p 2 0 1003 53 4061 1344
b 3 0 1056 0 508 503
b 3 0 1056 0 572 565
p 2 0 872 184 3175 1225
b 3 0 1056 0 559 549
b 3 0 1056 0 630 615
p 2 0 895 161 3271 1281
b 3 0 1056 0 486 478
b 3 0 1056 0 575 559
p 2 1 819 236 3217 1256
b 3 0 1056 0 640 632
b 3 0 1056 0 697 685
p 2 0 1018 38 4696 1441
b 3 0 1056 0 764 683
b 3 0 1056 0 604 563
p 2 32 983 41 4497 1467
b 3 0 1056 0 818 770
b 3 0 1056 0 838 790
p 2 49 868 139 4465 1485
b 3 0 1056 0 550 532
b 3 0 1056 0 634 608
p 2 0 940 116 4233 1400
b 3 0 1056 0 509 501
b 3 0 1056 0 765 745
p 2 0 1012 44 4078 1352
b 3 0 1056 0 481 478
b 3 0 1056 0 632 619
p 2 0 948 108 3735 1249
b 3 0 1056 0 584 572
b 3 0 1056 0 625 609
p 2 0 919 137 3145 1233
b 3 0 1056 0 570 552
b 3 0 1056 0 625 575
p 2 0 892 164 3317 1210
b 3 0 1056 0 747 667
b 3 0 1056 0 746 642
p 2 0 924 132 3681 1287
b 3 0 1056 0 779 616
b 3 0 1056 0 878 626
p 2 0 958 98 4239 1295
b 3 0 1056 0 1142 813
b 3 0 1056 0 1163 783
p 2 1 908 147 4895 1333
b 3 0 1056 0 1402 807
b 3 0 1056 0 1462 807
p 2 5 932 119 6440 1464
b 3 0 1056 0 1594 885
b 3 0 1056 0 1805 904
p 2 28 965 63 7445 1608
b 3 0 1056 0 2009 1007
b 3 0 1056 0 2051 1046
p 2 27 888 141 7735 1632
b 3 0 1056 0 1968 1116
b 3 0 1056 0 1845 1037
