0, Level_Start 
0 ,020
1312 ,430
1843 ,431
4422 ,230
4593 ,030
4765 ,430
4922 ,231
5093 ,431
5265 ,031
5437 ,430
6422 ,431
6718 ,030
6765 ,230
6843 ,430
7015 ,231
7047 ,031
8265 ,431
8593 ,030
8969 ,231
9219 ,011
9265 ,230
9515 ,231
9594 ,031
, 49
9594, Level_End 
0, Level_Start 
12406 ,020
13594 ,430
14516 ,431
15641 ,430
17094 ,431
17266 ,030
17797 ,011
17922 ,231
18016 ,230
18141 ,231
18219 ,031
18266 ,230
18312 ,231
, 09
18312, Level_End 
0, Level_Start 
21109 ,020
22422 ,430
24344 ,230
24391 ,030
24938 ,011
24969 ,031
, 09
24969, Level_End 
