0, Level_Start 
0 ,020
1156 ,430
1438 ,030
1828 ,431
1906 ,031
2031 ,030
2110 ,430
2703 ,031
2860 ,030
3203 ,031
3313 ,431
3360 ,330
3781 ,030
3860 ,20
4110 ,031
4485 ,030
4578 ,331
4610 ,430
4985 ,431
5031 ,430
5063 ,431
5156 ,031
5485 ,030
5656 ,330
5938 ,031
6156 ,030
6203 ,331
6250 ,430
6610 ,431
6735 ,031
6860 ,330
7156 ,030
7203 ,331
7235 ,430
7578 ,031
7938 ,431
7985 ,330
8578 ,331
8610 ,430
8860 ,030
9781 ,031
9985 ,030
10110 ,430
10156 ,431
10203 ,430
10453 ,230
10485 ,031
10578 ,231
10953 ,030
10985 ,430
11453 ,211
11828 ,211
11985 ,431
12031 ,330
12110 ,331
12156 ,330
12281 ,031
12453 ,331
12485 ,430
12860 ,030
13578 ,431
13610 ,430
13656 ,431
13703 ,031
, 29
13703, Level_End 
0, Level_Start 
16500 ,020
18610 ,030
18656 ,430
19281 ,031
20281 ,030
20906 ,031
21031 ,431
21688 ,330
22078 ,331
22938 ,430
23485 ,431
23688 ,030
24360 ,211
24735 ,211
25031 ,431
25078 ,330
25156 ,331
25203 ,031
25438 ,330
26110 ,331
26203 ,021
, 49
26203, Level_End 
0, Level_Start 
29000 ,020
30953 ,430
31031 ,030
31610 ,031
32156 ,030
32781 ,031
32860 ,030
33563 ,031
33813 ,030
34281 ,211
34360 ,431
34485 ,330
34578 ,331
34735 ,031
34781 ,030
35313 ,031
35485 ,030
35781 ,330
35985 ,211
36156 ,331
36235 ,330
36438 ,031
36735 ,331
36781 ,430
37235 ,030
37906 ,031
38203 ,030
38235 ,431
38281 ,430
38485 ,031
39360 ,431
40203 ,430
40578 ,030
41235 ,031
41360 ,030
41953 ,031
42860 ,431
42906 ,330
43156 ,331
43188 ,430
43610 ,030
44313 ,431
44328 ,031
, 29
44328, Level_End 
