0, Level_Start 
0 ,020
1125 ,430
2750 ,431
2796 ,330
3796 ,030
4281 ,331
4328 ,430
4874 ,030
5468 ,431
5499 ,430
5546 ,431
5578 ,430
5624 ,431
5671 ,430
5703 ,431
5749 ,430
5796 ,030
5828 ,430
5874 ,431
5906 ,430
5953 ,431
5999 ,430
6046 ,431
6078 ,430
6203 ,031
7374 ,030
8093 ,031
, 29
8093, Level_End 
0, Level_Start 
10890 ,020
11953 ,430
12999 ,030
13499 ,031
14749 ,431
14796 ,330
15171 ,331
15296 ,430
15796 ,030
16249 ,00
16499 ,431
16515 ,031
, 29
16515, Level_End 
0, Level_Start 
19312 ,020
20343 ,430
21406 ,030
22124 ,031
22796 ,431
22828 ,330
23249 ,331
24171 ,030
24202 ,00
24827 ,031
24921 ,021
, 09
24921, Level_End 
