0, Level_Start 
0 ,020
1187 ,430
1609 ,030
1734 ,431
1812 ,430
2031 ,511
2703 ,031
3406 ,431
3781 ,230
3906 ,030
4031 ,430
4328 ,031
4359 ,030
4484 ,231
4984 ,431
5062 ,031
5906 ,430
6406 ,030
6484 ,20
6734 ,031
6906 ,431
6984 ,430
7328 ,030
7375 ,00
7406 ,20
7656 ,031
7937 ,030
8031 ,431
8297 ,031
8484 ,030
8828 ,031
9062 ,430
9281 ,030
9359 ,20
9484 ,00
9500 ,011
9578 ,20
9828 ,031
10312 ,030
10406 ,431
10578 ,031
11031 ,330
11328 ,030
11578 ,121
11937 ,031
12328 ,331
12406 ,021
, 09
12406, Level_End 
0, Level_Start 
15203 ,020
17281 ,030
17812 ,031
18656 ,430
19734 ,030
20156 ,431
20359 ,031
20734 ,430
20781 ,431
20828 ,430
20859 ,030
20906 ,430
20937 ,431
21594 ,031
22172 ,030
22328 ,430
22656 ,031
23562 ,030
23953 ,431
23984 ,430
24031 ,431
24156 ,031
24531 ,030
24656 ,430
24703 ,431
24734 ,430
25031 ,031
25406 ,511
25656 ,431
26781 ,030
26984 ,330
27125 ,031
27906 ,331
27937 ,430
28703 ,030
28781 ,20
28859 ,00
29031 ,031
29328 ,030
29406 ,20
29531 ,00
29656 ,031
29828 ,030
29906 ,20
30156 ,031
30578 ,431
30609 ,330
31578 ,030
31609 ,430
31687 ,431
31734 ,430
32062 ,031
32578 ,030
33281 ,031
34437 ,431
35031 ,030
35812 ,031
, 29
35812, Level_End 
0, Level_Start 
38609 ,020
41656 ,430
41703 ,230
41828 ,030
42437 ,031
42484 ,030
42562 ,431
42859 ,031
43109 ,330
43609 ,030
43656 ,331
43687 ,230
43781 ,430
44031 ,231
44281 ,031
45328 ,030
45406 ,20
45484 ,00
45656 ,031
45781 ,030
45859 ,20
45906 ,431
46109 ,031
46281 ,430
46578 ,030
46656 ,20
46906 ,031
47031 ,431
47422 ,430
47703 ,030
47734 ,00
47781 ,20
48031 ,031
48234 ,431
48281 ,430
48484 ,030
48578 ,20
48828 ,031
49156 ,030
49234 ,20
49484 ,031
49828 ,431
50328 ,430
50406 ,030
50656 ,031
50812 ,431
50859 ,330
51453 ,030
51625 ,331
51656 ,430
51781 ,031
51828 ,030
52078 ,031
52859 ,030
52984 ,431
53031 ,430
53359 ,031
54984 ,431
60734 ,030
60781 ,430
61594 ,431
61906 ,231
62062 ,230
62156 ,031
, 29
62156, Level_End 
