PlayedBefore,TimePlaying,PlayGames,Age,Sex,JumpRun1,LeftRun1,RightRun1,JumpEndRun1,LeftEndRun1,RightEndRun1,TimeRun1,JumpRun2,LeftRun2,RightRun2,JumpEndRun2,LeftEndRun2,RightEndRun2,TimeRun2,JumpRun3,LeftRun3,RightRun3,JumpEndRun3,LeftEndRun3,RightEndRun3,TimeRun3,Engagement
1,0,1,36,1,6,0,4,6,0,4,9,1,0,0,1,0,0,5,4,0,3,4,0,3,12,2
1,0,1,37,1,2,1,6,2,1,6,9,1,0,3,1,0,3,10,1,0,1,1,0,1,8,1
1,0,1,37,1,1,0,2,1,0,2,5,2,0,3,2,0,2,11,2,1,9,2,1,9,18,1
1,0,1,37,1,4,1,4,4,1,4,28,2,0,2,2,0,2,10,5,0,9,3,0,9,11,2
1,0,1,37,1,13,10,29,15,10,27,56,8,2,14,7,2,14,20,17,6,21,17,6,24,37,2
1,0,1,37,1,6,2,8,6,2,8,17,3,0,4,3,0,4,8,4,2,8,3,2,8,14,3
1,0,1,37,1,13,2,8,13,2,8,16,8,2,6,6,2,6,13,9,5,7,10,5,7,25,2
0,0,1,27,1,29,13,53,28,12,56,70,4,0,2,4,0,2,7,7,1,7,7,1,5,12,1
0,0,1,27,1,1,0,0,1,0,0,4,12,3,8,10,3,7,25,8,2,4,7,2,5,17,1
0,0,1,27,1,15,2,17,15,2,17,26,16,4,14,14,4,15,32,7,2,4,6,2,4,14,2
0,0,1,27,1,26,10,35,23,10,33,57,25,7,22,24,5,23,37,14,7,16,14,7,14,25,2
0,0,1,27,1,4,2,5,3,2,5,13,9,4,12,7,4,12,31,5,2,3,5,2,4,17,3
0,0,1,27,1,1,0,0,2,0,0,6,6,1,6,6,1,5,26,29,8,24,26,8,24,54,2
1,0,0,33,0,6,4,7,6,4,7,11,5,1,4,5,1,4,10,7,2,10,7,2,10,14,1
1,0,0,33,0,1,0,0,1,0,0,3,16,2,20,15,2,21,37,0,0,0,0,0,0,0,1
1,0,0,33,0,24,7,27,22,7,27,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,0,33,0,27,7,26,27,7,24,43,21,1,16,19,1,16,27,23,5,21,19,5,20,31,2
1,0,0,33,0,12,1,3,12,1,2,14,19,2,11,18,2,10,27,0,0,0,0,0,0,0,3
1,0,0,33,0,4,0,3,4,0,2,4,18,3,18,16,3,15,26,0,0,0,0,0,0,0,2
1,0,0,33,0,15,4,16,16,4,15,22,23,6,21,22,6,22,33,8,5,8,8,5,7,17,4
1,0,0,33,0,10,5,6,10,5,6,17,2,0,3,2,0,2,7,7,1,6,8,1,6,17,2
0,0,0,32,0,6,2,11,5,2,12,13,4,1,4,4,1,4,10,3,0,5,3,0,6,9,1
0,0,0,32,0,4,3,7,4,2,7,12,4,0,3,4,0,2,12,2,0,3,2,0,3,14,1
0,0,0,32,0,11,4,20,9,5,21,33,9,1,13,9,1,13,20,18,5,24,17,5,22,39,2
0,0,0,32,0,1,0,1,1,0,1,4,11,1,9,9,1,10,25,7,2,5,7,1,5,16,2
0,0,0,32,0,2,0,3,2,0,3,9,21,10,48,19,9,49,48,18,6,22,18,5,24,31,3
0,0,0,32,0,21,5,23,20,5,25,31,20,5,18,16,5,21,25,18,4,15,17,4,14,28,2
0,0,0,32,0,21,6,23,20,6,23,37,25,2,23,22,2,24,32,0,0,0,0,0,0,0,4
0,0,0,32,0,6,1,4,5,1,5,8,6,0,7,6,0,8,12,12,0,20,11,0,20,22,2
0,0,0,24,0,19,4,8,17,4,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,24,0,10,2,9,10,2,9,18,20,4,12,19,4,11,26,0,0,0,0,0,0,0,1
0,0,0,24,0,20,10,22,19,10,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,24,0,10,0,6,9,0,6,13,9,2,5,9,1,5,15,13,4,11,13,4,11,22,2
0,0,0,24,0,26,5,21,22,5,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,24,0,9,2,7,8,2,6,12,13,2,6,12,2,6,16,0,0,0,0,0,0,0,2
0,0,0,25,1,7,4,9,6,4,9,17,7,4,17,7,4,16,25,16,10,33,16,10,35,45,1
0,0,0,25,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1
0,0,0,25,1,6,0,5,5,0,6,12,4,1,9,4,1,8,10,11,5,20,9,5,18,28,2
0,0,0,25,1,28,17,43,27,17,43,60,25,6,20,24,6,22,42,17,7,11,17,7,11,32,2
0,0,0,25,1,1,0,52,1,0,51,11,4,4,4,3,4,3,16,22,12,37,21,12,38,48,3
0,0,0,25,1,19,9,26,18,9,27,41,9,4,13,9,4,14,20,19,7,14,17,7,16,28,2
0,0,0,23,0,15,3,24,14,3,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,23,0,9,2,14,9,2,13,17,7,3,3,7,3,3,16,9,0,8,8,0,8,17,1
0,0,0,23,0,15,2,10,14,2,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,23,0,14,2,11,11,2,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,23,0,15,3,16,13,3,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,23,0,14,5,17,13,5,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,23,0,8,0,8,7,0,8,10,5,0,5,4,0,6,9,13,0,10,12,0,10,17,1
