PlayedBefore,TimePlaying,PlayGames,Age,Sex,JumpRun1,LeftRun1,RightRun1,JumpEndRun1,LeftEndRun1,RightEndRun1,TimeRun1,JumpRun2,LeftRun2,RightRun2,JumpEndRun2,LeftEndRun2,RightEndRun2,TimeRun2,JumpRun3,LeftRun3,RightRun3,JumpEndRun3,LeftEndRun3,RightEndRun3,TimeRun3,EngFruChal
1,0,1,36,1,5,0,3,4,0,2,5500,6,0,6,5,0,5,13375,5,0,11,5,0,10,15875,121
1,0,1,36,1,1,0,3,1,0,3,6672,4,1,12,4,1,13,14250,2,0,1,2,0,1,7797,212
1,0,1,36,1,6,0,4,6,0,4,9265,1,0,0,1,0,0,5453,4,0,3,4,0,3,12172,221
1,0,1,37,1,2,1,6,2,1,6,9703,1,0,3,1,0,3,10203,1,0,1,1,0,1,8500,122
1,0,1,37,1,1,0,2,1,0,2,5187,2,0,3,2,0,2,11047,2,1,9,2,1,9,18500,121
1,0,1,37,1,4,1,4,4,1,4,28906,2,0,2,2,0,2,10375,5,0,9,3,0,9,11625,212
1,0,1,37,1,13,10,29,15,10,27,56516,8,2,14,7,2,14,20125,17,6,21,17,6,24,37953,221
1,0,1,37,1,6,2,8,6,2,8,17797,3,0,4,3,0,4,8594,4,2,8,3,2,8,14047,303
1,0,1,37,1,13,2,8,13,2,8,16953,8,2,6,6,2,6,13609,9,5,7,10,5,7,25828,203
0,0,1,27,1,29,13,53,28,12,56,70016,4,0,2,4,0,2,7953,7,1,7,7,1,5,12125,122
0,0,1,27,1,1,0,0,1,0,0,4328,12,3,8,10,3,7,25500,8,2,4,7,2,5,17078,121
0,0,1,27,1,15,2,17,15,2,17,26453,16,4,14,14,4,15,32094,7,2,4,6,2,4,14297,212
0,0,1,27,1,26,10,35,23,10,33,57266,25,7,22,24,5,23,37125,14,7,16,14,7,14,25500,221
0,0,1,27,1,4,2,5,3,2,5,13407,9,4,12,7,4,12,31000,5,2,3,5,2,4,17625,303
0,0,1,27,1,1,0,0,2,0,0,6797,6,1,6,6,1,5,26672,29,8,24,26,8,24,54781,203
1,0,0,33,0,6,4,7,6,4,7,11194,5,1,4,5,1,4,10994,7,2,10,7,2,10,14693,122
1,0,0,33,0,1,0,0,1,0,0,3282,16,2,20,15,2,21,37750,0,0,0,0,0,0,0,121
1,0,0,33,0,24,7,27,22,7,27,36733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
1,0,0,33,0,27,7,26,27,7,24,43046,21,1,16,19,1,16,27316,23,5,21,19,5,20,31943,221
1,0,0,33,0,12,1,3,12,1,2,14818,19,2,11,18,2,10,27315,0,0,0,0,0,0,0,303
1,0,0,33,0,4,0,3,4,0,2,4934,18,3,18,16,3,15,26040,0,0,0,0,0,0,0,203
1,0,0,33,0,15,4,16,16,4,15,22283,23,6,21,22,6,22,33460,8,5,8,8,5,7,17153,412
1,0,0,33,0,10,5,6,10,5,6,17243,2,0,3,2,0,2,7776,7,1,6,8,1,6,17819,221
0,0,0,32,0,6,2,11,5,2,12,13381,4,1,4,4,1,4,10348,3,0,5,3,0,6,9827,122
0,0,0,32,0,4,3,7,4,2,7,12837,4,0,3,4,0,2,12755,2,0,3,2,0,3,14968,121
0,0,0,32,0,11,4,20,9,5,21,33394,9,1,13,9,1,13,20106,18,5,24,17,5,22,39086,212
0,0,0,32,0,1,0,1,1,0,1,4191,11,1,9,9,1,10,25835,7,2,5,7,1,5,16389,221
0,0,0,32,0,2,0,3,2,0,3,9145,21,10,48,19,9,49,48511,18,6,22,18,5,24,31249,303
0,0,0,32,0,21,5,23,20,5,25,31580,20,5,18,16,5,21,25442,18,4,15,17,4,14,28791,203
0,0,0,32,0,21,6,23,20,6,23,37839,25,2,23,22,2,24,32392,0,0,0,0,0,0,0,412
0,0,0,32,0,6,1,4,5,1,5,8186,6,0,7,6,0,8,12961,12,0,20,11,0,20,22513,221
0,0,0,24,0,19,4,8,17,4,7,22922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
0,0,0,24,0,10,2,9,10,2,9,18031,20,4,12,19,4,11,26484,0,0,0,0,0,0,0,121
0,0,0,24,0,20,10,22,19,10,22,27859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
0,0,0,24,0,10,0,6,9,0,6,13359,9,2,5,9,1,5,15422,13,4,11,13,4,11,22078,221
0,0,0,24,0,26,5,21,22,5,18,28343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
0,0,0,24,0,9,2,7,8,2,6,12421,13,2,6,12,2,6,16922,0,0,0,0,0,0,0,203
0,0,0,25,1,7,4,9,6,4,9,17015,7,4,17,7,4,16,25719,16,10,33,16,10,35,45453,122
0,0,0,25,1,0,0,0,0,0,0,2250,0,0,0,0,0,0,5234,0,0,0,0,0,0,5250,121
0,0,0,25,1,6,0,5,5,0,6,12218,4,1,9,4,1,8,10641,11,5,20,9,5,18,28750,212
0,0,0,25,1,28,17,43,27,17,43,60562,25,6,20,24,6,22,42844,17,7,11,17,7,11,32453,221
0,0,0,25,1,1,0,52,1,0,51,11313,4,4,4,3,4,3,16687,22,12,37,21,12,38,48797,303
0,0,0,25,1,19,9,26,18,9,27,41687,9,4,13,9,4,14,20422,19,7,14,17,7,16,28484,203
0,0,0,23,0,15,3,24,14,3,24,28625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
0,0,0,23,0,9,2,14,9,2,13,17125,7,3,3,7,3,3,16625,9,0,8,8,0,8,17469,121
0,0,0,23,0,15,2,10,14,2,8,23375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
0,0,0,23,0,14,2,11,11,2,10,25891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
0,0,0,23,0,15,3,16,13,3,14,26594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
0,0,0,23,0,14,5,17,13,5,17,27860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
0,0,0,23,0,8,0,8,7,0,8,10125,5,0,5,4,0,6,9125,13,0,10,12,0,10,17656,122
0,0,0,23,0,7,0,0,7,0,0,9125,8,0,2,8,0,2,15828,0,0,0,0,0,0,0,121
0,0,0,23,0,8,1,17,6,1,18,9922,9,0,22,6,0,20,12953,5,0,19,4,0,19,10750,212
0,0,0,23,0,3,0,6,3,0,7,4500,3,0,4,3,0,3,7203,3,0,3,3,0,2,6875,221
0,0,0,23,0,7,0,11,7,0,12,6985,10,0,12,9,0,13,13047,6,0,14,5,0,10,9921,303
0,0,0,23,0,4,0,3,4,0,4,4360,9,2,10,8,2,9,14750,14,5,13,14,5,16,23000,203
0,2,0,26,0,29,7,17,26,7,17,27781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
