0, Level_Start 
0 ,020
1281 ,430
2781 ,230
2859 ,030
2906 ,431
2984 ,430
3140 ,031
3265 ,230
3312 ,030
3390 ,431
3562 ,231
3765 ,00
3812 ,00
3859 ,011
4390 ,031
4531 ,230
4562 ,030
4812 ,231
5234 ,031
, 09
5234, Level_End 
0, Level_Start 
8046 ,020
8859 ,430
9890 ,230
9937 ,030
10140 ,231
10234 ,431
10281 ,430
10312 ,431
10406 ,030
10656 ,231
10812 ,00
10906 ,011
11437 ,031
11656 ,230
11687 ,030
11906 ,231
12312 ,230
12359 ,031
12437 ,231
, 09
12437, Level_End 
0, Level_Start 
15250 ,020
16140 ,430
17312 ,030
17390 ,431
17437 ,430
17515 ,231
17609 ,031
17812 ,030
18031 ,231
18187 ,00
18390 ,031
18531 ,021
, 09
18531, Level_End 
