0, Level_Start 
0 ,020
1109 ,430
1781 ,030
2281 ,031
3125 ,431
3156 ,030
3281 ,430
3703 ,031
4781 ,030
5109 ,00
5265 ,031
5328 ,431
5359 ,330
6062 ,030
6406 ,331
6453 ,430
6578 ,031
7156 ,030
7187 ,431
7234 ,430
7703 ,011
7734 ,00
8437 ,031
8562 ,431
8609 ,330
9203 ,030
9531 ,00
9687 ,031
9874 ,331
9906 ,430
11031 ,030
11531 ,031
11578 ,431
11953 ,430
11984 ,431
12031 ,030
12062 ,431
12234 ,430
12578 ,031
12781 ,431
12906 ,030
13031 ,430
13421 ,031
13687 ,431
13781 ,030
13812 ,430
14437 ,031
20234 ,431
20859 ,430
21406 ,431
21531 ,030
21781 ,430
22093 ,011
22593 ,031
22828 ,431
22874 ,330
23281 ,121
24015 ,331
24062 ,430
24265 ,230
24781 ,030
25156 ,231
25327 ,031
29234 ,431
29281 ,030
29312 ,430
29374 ,431
29406 ,430
29906 ,031
30421 ,431
, -19
30421, Level_End 
