0, Level_Start 
0 ,020
922 ,430
1922 ,431
2125 ,430
2969 ,230
3125 ,231
4000 ,030
4047 ,430
4078 ,431
4125 ,430
4453 ,031
4672 ,030
4797 ,431
4828 ,430
4922 ,431
5047 ,031
5625 ,030
6344 ,031
6375 ,030
6500 ,031
, 19
6500, Level_End 
0, Level_Start 
9297 ,020
10172 ,430
10906 ,030
11172 ,031
11422 ,431
11453 ,430
11500 ,431
11547 ,030
11578 ,431
11625 ,430
11719 ,431
11875 ,430
11906 ,031
12375 ,431
12500 ,430
12547 ,431
12578 ,030
12625 ,431
12672 ,430
12703 ,431
12969 ,031
13047 ,030
13750 ,031
14375 ,030
14594 ,211
15203 ,031
15500 ,021
, 09
15500, Level_End 
0, Level_Start 
18297 ,020
19250 ,430
20000 ,030
20250 ,031
20500 ,431
20547 ,430
20578 ,030
20625 ,430
20672 ,431
20703 ,430
21047 ,031
21344 ,030
21375 ,430
21422 ,431
21453 ,430
21750 ,031
22250 ,030
22953 ,031
23797 ,431
24844 ,211
25250 ,021
, 09
25250, Level_End 
