# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

b 3 0 1056 0 2001 871
p 2 0 952 104 9081 1250
b 3 0 1056 0 7775 1947
b 3 0 1056 0 3236 1382
p 2 0 1049 7 12971 1359
b 3 0 1056 0 2051 1074
b 3 0 1056 0 2303 1065
p 2 0 1031 25 7843 1290
b 3 0 1056 0 967 677
b 3 0 1056 0 1625 860
p 2 0 1006 50 7917 1262
b 3 0 1056 0 1957 998
b 3 0 1056 0 1767 1010
p 2 0 1046 10 8345 1322
b 3 0 1056 0 2668 1374
b 3 0 1056 0 5014 2152
p 2 38 1018 0 19873 2146
b 3 0 1056 0 5688 2015
b 3 0 1056 0 1946 1394
p 2 0 1055 1 22861 1812
b 3 0 1056 0 1454 966
b 3 0 1056 0 1241 881
p 2 0 1029 27 10377 1463
b 3 0 1056 0 985 864
b 3 0 1056 0 1041 842
p 2 0 996 60 5967 1293
b 3 0 1056 0 539 520
b 3 0 1056 0 628 622
p 2 0 1000 56 6118 1287
b 3 0 1056 0 656 653
b 3 0 1056 0 668 666
p 2 0 913 143 4044 1197
b 3 0 1056 0 600 592
b 3 0 1056 0 634 622
p 2 0 978 78 4973 1240
b 3 0 1056 0 665 664
b 3 0 1056 0 723 723
p 2 0 957 99 4215 1180
b 3 0 1056 0 547 539
b 3 0 1056 0 619 615
p 2 0 965 91 4841 1215
b 3 0 1056 0 642 636
b 3 0 1056 0 759 716
p 2 0 880 176 4937 1167
b 3 0 1056 0 700 636
b 3 0 1056 0 729 674
p 2 0 971 85 4182 1217
b 3 0 1056 0 589 578
b 3 0 1056 0 622 616
p 2 0 895 161 4858 1180
b 3 0 1056 0 481 441
b 3 0 1056 0 604 548
p 2 0 943 113 6573 1204
b 3 0 1056 0 1118 669
b 3 0 1056 0 1170 673
p 2 0 931 125 8030 1233
b 3 0 1056 0 854 676
b 3 0 1056 0 1061 777
p 2 0 959 97 8226 1261
b 3 0 1056 0 957 664
b 3 0 1056 0 1025 608
p 2 0 862 194 7139 1192
b 3 0 1056 0 671 447
b 3 0 1056 0 634 532
p 2 0 877 179 6248 1171
b 3 0 1056 0 968 636
b 3 0 1056 0 944 566
p 2 0 862 194 6888 1172
b 3 0 1056 0 859 714
b 3 0 1056 0 780 701
p 2 0 979 77 7007 1245
b 3 0 1056 0 703 601
b 3 0 1056 0 724 666
p 2 0 930 126 6188 1196
b 3 0 1056 0 561 470
b 3 0 1056 0 436 397
p 2 0 852 204 6577 1165
b 3 0 1056 0 463 454
b 3 0 1056 0 501 478
p 2 0 807 249 5455 1127
b 3 0 1056 0 602 584
b 3 0 1056 0 576 569
p 2 0 903 153 4295 1149
b 3 0 1056 0 488 479
b 3 0 1056 0 480 479
p 2 0 825 231 4365 1145
b 3 0 1056 0 369 365
b 3 0 1056 0 381 377
p 2 0 779 277 3118 1093
b 3 0 1056 0 338 323
b 3 0 1056 0 465 453
p 2 0 959 97 5647 1205
b 3 0 1056 0 446 444
b 3 0 1056 0 575 568
p 2 0 949 107 5297 1185
b 3 0 1056 0 717 631
b 3 0 1056 0 713 660
p 2 0 942 114 6461 1248
b 3 0 1056 0 1603 827
b 3 0 1056 0 2106 844
p 2 0 1008 48 7903 1316
b 3 0 1056 0 1582 765
b 3 0 1056 0 1855 811
p 2 0 1008 48 7967 1330
b 3 0 1056 0 2118 794
b 3 0 1056 0 2180 831
i 2 1056 0 0 27386 4029
b 3 0 1056 0 1820 859
b 3 0 1056 0 1892 878
p 2 0 1018 38 7902 1287
b 3 0 1056 0 2563 919
b 3 0 1056 0 2815 1109
p 2 0 1026 30 9802 1404
b 3 0 1056 0 1519 818
b 3 0 1056 0 1554 803
p 2 0 1014 42 8115 1281
b 3 0 1056 0 1663 788
b 3 0 1056 0 1966 1192
p 2 0 1056 0 11642 1527
b 3 0 1056 0 1484 922
b 3 0 1056 0 1521 990
p 2 0 1037 19 10940 1549
b 3 0 1056 0 1165 843
b 3 0 1056 0 1422 907
p 2 0 1037 19 9529 1461
b 3 0 1056 0 748 616
b 3 0 1056 0 926 735
p 2 0 968 88 8034 1354
b 3 0 1056 0 713 696
b 3 0 1056 0 807 791
p 2 0 1003 53 6363 1353
b 3 0 1056 0 551 540
b 3 0 1056 0 589 574
p 2 0 979 77 4846 1278
b 3 0 1056 0 661 649
b 3 0 1056 0 714 697
p 2 0 950 106 4915 1205
b 3 0 1056 0 516 502
b 3 0 1056 0 612 584
p 2 0 940 116 5344 1231
b 3 0 1056 0 839 788
b 3 0 1056 0 890 825
p 2 0 968 88 5865 1240
b 3 0 1056 0 697 651
b 3 0 1056 0 670 616
p 2 2 975 79 5661 1253
b 3 0 1056 0 723 647
b 3 0 1056 0 772 667
p 2 1 1002 53 5756 1287
b 3 0 1056 0 689 579
b 3 0 1056 0 813 733
p 2 0 982 74 6372 1282
b 3 0 1056 0 776 688
b 3 0 1056 0 757 702
p 2 0 1010 46 7328 1326
b 3 0 1056 0 690 617
b 3 0 1056 0 700 629
p 2 0 956 100 6230 1263
b 3 0 1056 0 759 665
b 3 0 1056 0 837 767
p 2 0 1000 56 7088 1263
b 3 0 1056 0 560 503
b 3 0 1056 0 666 571
p 2 0 938 118 6816 1242
b 3 0 1056 0 580 573
b 3 0 1056 0 698 673
p 2 0 1004 52 5766 1254
b 3 0 1056 0 459 458
b 3 0 1056 0 511 509
p 2 0 937 119 4231 1163
b 3 0 1056 0 612 565
b 3 0 1056 0 664 597
p 2 0 911 145 5013 1204
b 3 0 1056 0 491 439
b 3 0 1056 0 489 429
p 2 0 955 101 5234 1217
b 3 0 1056 0 490 474
b 3 0 1056 0 666 605
p 2 0 1022 34 6997 1282
b 3 0 1056 0 584 485
b 3 0 1056 0 788 558
p 2 0 957 99 6372 1233
b 3 0 1056 0 1629 813
b 3 0 1056 0 2258 833
p 2 0 992 64 7830 1264
b 3 0 1056 0 1846 739
b 3 0 1056 0 1541 768
p 2 0 970 86 8426 1273
b 3 0 1056 0 1702 826
b 3 0 1056 0 1677 861
p 2 0 1011 45 8554 1328
b 3 0 1056 0 953 634
b 3 0 1056 0 900 607
p 2 0 994 62 8595 1277
b 3 0 1056 0 1637 710
b 3 0 1056 0 2385 797
p 2 1 1007 48 7278 1263
b 3 0 1056 0 1201 663
b 3 0 1056 0 935 649
p 2 0 970 86 7969 1278
b 3 0 1056 0 1046 785
b 3 0 1056 0 1078 803
p 2 0 974 82 6450 1261
b 3 0 1056 0 1272 621
b 3 0 1056 0 1324 627
p 2 0 942 114 8232 1271
b 3 0 1056 0 1039 648
b 3 0 1056 0 1106 696
p 2 0 1005 51 9122 1288
b 3 0 1056 0 616 466
b 3 0 1056 0 879 592
p 2 0 964 92 8003 1259
b 3 0 1056 0 957 676
b 3 0 1056 0 1090 705
p 2 0 979 77 8103 1295
b 3 0 1056 0 1419 672
b 3 0 1056 0 1537 659
p 2 0 997 59 9348 1302
b 3 0 1056 0 1907 825
b 3 0 1056 0 2386 845
p 2 1 914 141 9109 1286
b 3 0 1056 0 1800 709
b 3 0 1056 0 2173 832
p 2 0 959 97 10219 1300
b 3 0 1056 0 2006 1017
b 3 0 1056 0 1950 961
p 2 0 1013 43 9139 1358
b 3 0 1056 0 2500 999
b 3 0 1056 0 2305 984
p 2 0 974 82 9813 1387
b 3 0 1056 0 2857 1105
b 3 0 1056 0 2910 1077
p 2 1 982 73 11704 1470
b 3 0 1056 0 2588 1046
b 3 0 1056 0 2592 1060
p 2 0 983 73 10256 1439
b 3 0 1056 0 2441 1072
b 3 0 1056 0 2570 1125
p 2 0 1004 52 11416 1546
b 3 0 1056 0 2249 982
b 3 0 1056 0 2885 1054
p 2 0 957 99 10907 1512
b 3 0 1056 0 2203 982
b 3 0 1056 0 2325 966
p 2 0 980 76 10436 1445
b 3 0 1056 0 1939 868
b 3 0 1056 0 2170 929
p 2 0 938 118 9189 1356
b 3 0 1056 0 2033 880
b 3 0 1056 0 1845 868
p 2 0 1028 28 9303 1366
b 3 0 1056 0 1377 726
b 3 0 1056 0 1376 729
p 2 0 964 92 8428 1359
b 3 0 1056 0 1568 774
b 3 0 1056 0 1674 791
p 2 0 993 63 7857 1320
b 3 0 1056 0 1277 676
b 3 0 1056 0 1614 895
p 2 3 1006 47 10125 1381
b 3 0 1056 0 1039 749
b 3 0 1056 0 1105 794
p 2 0 1024 32 8728 1389
b 3 0 1056 0 934 678
b 3 0 1056 0 987 709
p 2 0 1011 45 8418 1341
b 3 0 1056 0 1077 813
b 3 0 1056 0 1242 901
p 2 10 1016 30 9317 1432
b 3 0 1056 0 829 660
b 3 0 1056 0 1000 798
p 2 9 984 63 9238 1419
b 3 0 1056 0 1061 776
b 3 0 1056 0 1152 791
p 2 8 1001 47 8990 1429
b 3 0 1056 0 996 738
b 3 0 1056 0 1050 753
p 2 0 979 77 9187 1390
b 3 0 1056 0 1342 800
b 3 0 1056 0 1429 819
p 2 0 964 92 9292 1392
b 3 0 1056 0 1278 730
b 3 0 1056 0 1430 764
p 2 0 975 81 9271 1345
b 3 0 1056 0 688 624
b 3 0 1056 0 790 741
p 2 0 1006 50 9187 1359
b 3 0 1056 0 557 510
b 3 0 1056 0 516 467
p 2 0 1010 46 7526 1334
b 3 0 1056 0 639 592
b 3 0 1056 0 643 612
p 2 0 950 106 6688 1267
b 3 0 1056 0 523 512
b 3 0 1056 0 585 564
p 2 0 947 109 6620 1277
b 3 0 1056 0 771 701
b 3 0 1056 0 846 790
p 2 0 992 64 6388 1282
b 3 0 1056 0 519 510
b 3 0 1056 0 642 607
p 2 0 977 79 6139 1241
b 3 0 1056 0 561 553
b 3 0 1056 0 629 624
p 2 0 947 109 5964 1216
b 3 0 1056 0 518 471
b 3 0 1056 0 593 578
p 2 0 974 82 6664 1223
b 3 0 1056 0 952 731
b 3 0 1056 0 796 675
p 2 0 998 58 7494 1293
b 3 0 1056 0 874 656
b 3 0 1056 0 714 621
p 2 0 987 69 6425 1260
b 3 0 1056 0 855 664
b 3 0 1056 0 873 731
p 2 0 993 63 8048 1278
b 3 0 1056 0 654 565
b 3 0 1056 0 693 576
p 2 0 967 89 6994 1251
b 3 0 1056 0 719 706
b 3 0 1056 0 834 810
p 2 0 947 109 6342 1245
b 3 0 1056 0 1064 711
b 3 0 1056 0 1049 613
p 2 0 944 112 7097 1242
b 3 0 1056 0 1499 723
b 3 0 1056 0 1575 748
p 2 0 915 141 7307 1237
b 3 0 1056 0 977 551
b 3 0 1056 0 1155 661
p 2 0 955 101 7979 1252
b 3 0 1056 0 1076 738
b 3 0 1056 0 1077 713
p 2 0 1018 38 7949 1277
b 3 0 1056 0 1761 636
b 3 0 1056 0 1602 636
p 2 0 938 118 7908 1252
b 3 0 1056 0 1157 698
b 3 0 1056 0 1727 749
p 2 0 878 178 8969 1262
b 3 0 1056 0 1220 631
b 3 0 1056 0 1201 658
p 2 0 871 185 7665 1197
b 3 0 1056 0 1255 602
b 3 0 1056 0 1068 724
p 2 0 944 112 8594 1262
b 3 0 1056 0 832 509
b 3 0 1056 0 867 481
p 2 0 855 201 6389 1204
b 3 0 1056 0 1037 460
b 3 0 1056 0 1269 548
p 2 0 985 71 6968 1217
b 3 0 1056 0 1090 493
b 3 0 1056 0 1262 514
p 2 0 916 140 8705 1215
b 3 0 1056 0 978 685
b 3 0 1056 0 971 746
p 2 0 945 111 8144 1250
b 3 0 1056 0 725 517
b 3 0 1056 0 804 592
p 2 0 957 99 5270 1189
b 3 0 1056 0 1544 769
b 3 0 1056 0 2022 794
p 2 0 947 109 7321 1240
b 3 0 1056 0 1649 656
b 3 0 1056 0 1563 638
p 2 0 948 108 7385 1239
b 3 0 1056 0 655 477
b 3 0 1056 0 1053 748
p 2 0 1034 22 8211 1293
b 3 0 1056 0 768 576
b 3 0 1056 0 706 532
p 2 0 931 125 4392 1193
b 3 0 1056 0 799 561
b 3 0 1056 0 850 599
p 2 0 917 139 6850 1205
b 3 0 1056 0 1480 992
b 3 0 1056 0 1745 1074
p 2 11 1024 21 9862 1468
b 3 0 1056 0 2100 1041
b 3 0 1056 0 2052 1156
p 2 0 1017 39 10017 1530
b 3 0 1056 0 1740 909
b 3 0 1056 0 2348 997
p 2 4 987 65 9747 1453
b 3 0 1056 0 2644 1107
b 3 0 1056 0 2541 1081
p 2 0 997 59 9737 1437
b 3 0 1056 0 2245 1015
b 3 0 1056 0 2291 988
p 2 0 994 62 9143 1421
b 3 0 1056 0 1946 940
b 3 0 1056 0 1842 1068
