0, Level_Start 
0 ,020
562 ,430
937 ,230
1859 ,231
2312 ,030
2890 ,431
2937 ,330
2968 ,031
3015 ,331
3062 ,021
, 09
3062, Level_End 
0, Level_Start 
5859 ,020
6812 ,430
6937 ,230
7734 ,030
8140 ,231
8312 ,031
8609 ,431
8640 ,330
8687 ,030
8984 ,331
9015 ,430
9109 ,431
9265 ,330
9390 ,331
9515 ,121
9687 ,121
9734 ,121
9968 ,031
10609 ,030
11140 ,031
, 09
11140, Level_End 
0, Level_Start 
13937 ,020
14687 ,430
14937 ,230
15687 ,030
16015 ,231
16265 ,031
16437 ,431
16640 ,030
16765 ,430
17140 ,431
17187 ,031
18687 ,030
18765 ,430
19265 ,111
19437 ,431
19687 ,121
19734 ,031
, 49
19734, Level_End 
