# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

b 3 0 1056 0 801 669
p 2 0 808 248 4341 1167
b 3 0 1056 0 658 469
b 3 0 1056 0 865 528
p 2 0 762 294 4400 1161
b 3 0 1056 0 926 547
b 3 0 1056 0 956 552
p 2 0 713 343 5079 1154
b 3 0 1056 0 1018 470
b 3 0 1056 0 1229 542
p 2 0 746 310 4443 1164
b 3 0 1056 0 964 596
b 3 0 1056 0 969 603
p 2 0 863 193 5185 1265
b 3 0 1056 0 666 457
b 3 0 1056 0 808 494
p 2 0 694 362 3707 1125
b 3 0 1056 0 657 470
b 3 0 1056 0 546 449
p 2 0 913 143 5048 1224
b 3 0 1056 0 735 444
b 3 0 1056 0 1012 563
p 2 0 956 100 5894 1287
b 3 0 1056 0 503 429
b 3 0 1056 0 646 545
p 2 0 1030 26 5757 1340
b 3 0 1056 0 893 629
b 3 0 1056 0 982 576
p 2 0 833 223 5512 1209
b 3 0 1056 0 1372 652
b 3 0 1056 0 1342 669
p 2 0 867 189 5761 1259
b 3 0 1056 0 1087 533
b 3 0 1056 0 1254 565
p 2 0 772 284 4754 1171
b 3 0 1056 0 1298 665
b 3 0 1056 0 1165 690
p 2 0 885 171 6676 1286
b 3 0 1056 0 840 535
b 3 0 1056 0 1047 559
p 2 0 760 296 5953 1192
b 3 0 1056 0 1043 575
b 3 0 1056 0 1124 559
p 2 0 756 300 5069 1161
b 3 0 1056 0 1043 497
b 3 0 1056 0 1125 530
p 2 0 732 324 5107 1149
b 3 0 1056 0 1218 648
b 3 0 1056 0 1115 651
p 2 0 826 230 5274 1197
b 3 0 1056 0 794 406
b 3 0 1056 0 823 449
p 2 0 712 344 4769 1135
b 3 0 1056 0 741 458
b 3 0 1056 0 827 495
p 2 0 682 374 4523 1111
b 3 0 1056 0 358 333
b 3 0 1056 0 491 419
p 2 0 676 380 3844 1081
b 3 0 1056 0 547 509
b 3 0 1056 0 559 505
p 2 0 744 312 3458 1116
b 3 0 1056 0 444 379
b 3 0 1056 0 436 369
p 2 0 656 400 3536 1064
b 3 0 1056 0 424 355
b 3 0 1056 0 422 373
p 2 0 696 360 4182 1099
b 3 0 1056 0 413 360
b 3 0 1056 0 448 362
p 2 0 643 413 4211 1069
b 3 0 1056 0 818 530
b 3 0 1056 0 802 549
p 2 0 797 259 5251 1167
b 3 0 1056 0 424 358
b 3 0 1056 0 421 391
p 2 0 630 426 3789 1066
b 3 0 1056 0 449 395
b 3 0 1056 0 406 386
p 2 0 645 411 3483 1067
b 3 0 1056 0 368 319
b 3 0 1056 0 413 358
p 2 0 542 514 3843 1041
b 3 0 1056 0 470 420
b 3 0 1056 0 447 413
p 2 0 842 214 3846 1149
b 3 0 1056 0 573 429
b 3 0 1056 0 581 443
p 2 0 713 343 4381 1122
b 3 0 1056 0 618 468
b 3 0 1056 0 639 502
p 2 0 661 395 3790 1094
b 3 0 1056 0 535 398
b 3 0 1056 0 615 446
p 2 0 652 404 5023 1107
b 3 0 1056 0 466 358
b 3 0 1056 0 359 288
i 2 1056 0 0 32875 4136
b 3 0 1056 0 648 530
b 3 0 1056 0 869 591
p 2 0 867 189 3897 1190
b 3 0 1056 0 720 517
b 3 0 1056 0 671 520
p 2 0 834 222 4526 1161
b 3 0 1056 0 586 432
b 3 0 1056 0 675 466
p 2 0 743 313 4674 1127
b 3 0 1056 0 779 554
b 3 0 1056 0 766 558
p 2 0 918 138 5667 1234
b 3 0 1056 0 671 454
b 3 0 1056 0 610 416
p 2 0 747 309 4415 1137
b 3 0 1056 0 524 452
b 3 0 1056 0 659 470
p 2 0 755 301 3738 1104
b 3 0 1056 0 373 354
b 3 0 1056 0 422 395
p 2 0 674 382 3452 1076
b 3 0 1056 0 679 575
b 3 0 1056 0 691 564
p 2 0 771 285 3647 1131
b 3 0 1056 0 1142 545
b 3 0 1056 0 1344 582
p 2 0 758 298 6671 1217
b 3 0 1056 0 1196 559
b 3 0 1056 0 1257 586
p 2 0 736 320 5829 1179
b 3 0 1056 0 946 462
b 3 0 1056 0 965 469
p 2 0 756 300 5536 1183
b 3 0 1056 0 833 599
b 3 0 1056 0 870 628
p 2 0 890 166 5459 1214
b 3 0 1056 0 471 400
b 3 0 1056 0 532 418
p 2 0 755 301 4183 1100
b 3 0 1056 0 768 495
b 3 0 1056 0 590 429
p 2 0 729 327 4922 1133
b 3 0 1056 0 633 398
b 3 0 1056 0 871 476
p 2 0 681 375 4903 1120
b 3 0 1056 0 772 576
b 3 0 1056 0 789 571
p 2 0 753 303 5433 1180
b 3 0 1056 0 660 421
b 3 0 1056 0 713 443
p 2 0 737 319 5495 1155
b 3 0 1056 0 995 514
b 3 0 1056 0 1090 507
p 2 0 700 356 5127 1133
b 3 0 1056 0 1066 504
b 3 0 1056 0 1131 511
p 2 0 685 371 5488 1175
b 3 0 1056 0 1252 651
b 3 0 1056 0 1138 643
p 2 0 790 266 5528 1171
b 3 0 1056 0 833 497
b 3 0 1056 0 913 506
p 2 0 907 149 5630 1208
b 3 0 1056 0 953 670
b 3 0 1056 0 1007 727
p 2 0 918 138 6470 1256
b 3 0 1056 0 593 456
b 3 0 1056 0 723 527
p 2 0 980 76 5848 1262
b 3 0 1056 0 1099 674
b 3 0 1056 0 1031 675
p 2 0 991 65 5850 1276
b 3 0 1056 0 887 496
b 3 0 1056 0 1016 555
p 2 0 973 83 5728 1270
b 3 0 1056 0 1120 663
b 3 0 1056 0 1135 679
p 2 0 962 94 6215 1276
b 3 0 1056 0 868 503
b 3 0 1056 0 1041 599
p 2 0 903 153 5632 1257
b 3 0 1056 0 1109 709
b 3 0 1056 0 1002 659
p 2 0 898 158 6086 1265
b 3 0 1056 0 582 433
b 3 0 1056 0 851 571
p 2 0 809 247 5314 1193
b 3 0 1056 0 618 494
b 3 0 1056 0 636 518
p 2 0 771 285 4138 1148
b 3 0 1056 0 624 461
b 3 0 1056 0 621 433
p 2 0 781 275 4833 1156
b 3 0 1056 0 822 608
b 3 0 1056 0 904 652
p 2 0 901 155 6217 1253
b 3 0 1056 0 932 539
b 3 0 1056 0 1007 535
p 2 0 796 260 5897 1187
b 3 0 1056 0 924 589
b 3 0 1056 0 1114 695
p 2 0 914 142 6520 1239
b 3 0 1056 0 624 472
b 3 0 1056 0 682 511
p 2 0 969 87 5576 1235
b 3 0 1056 0 845 661
b 3 0 1056 0 894 662
p 2 0 975 81 5985 1292
b 3 0 1056 0 520 477
b 3 0 1056 0 661 545
p 2 0 873 183 4896 1203
b 3 0 1056 0 663 549
b 3 0 1056 0 759 583
p 2 0 828 228 5666 1240
b 3 0 1056 0 793 548
b 3 0 1056 0 749 552
p 2 0 859 197 5085 1212
b 3 0 1056 0 1149 702
b 3 0 1056 0 1305 694
p 2 0 878 178 6046 1248
b 3 0 1056 0 901 506
b 3 0 1056 0 895 567
p 2 0 786 270 5560 1188
b 3 0 1056 0 802 550
b 3 0 1056 0 786 566
p 2 0 703 353 5482 1167
b 3 0 1056 0 745 449
b 3 0 1056 0 812 468
p 2 0 826 230 5643 1162
b 3 0 1056 0 611 547
b 3 0 1056 0 669 578
p 2 0 843 213 5038 1178
b 3 0 1056 0 493 399
b 3 0 1056 0 407 375
p 2 0 732 324 3764 1112
b 3 0 1056 0 878 575
b 3 0 1056 0 1141 573
p 2 0 710 346 5703 1169
b 3 0 1056 0 1490 607
b 3 0 1056 0 1289 640
p 2 0 749 307 6240 1208
b 3 0 1056 0 1226 605
b 3 0 1056 0 1196 581
p 2 0 987 69 6261 1300
b 3 0 1056 0 1126 586
b 3 0 1056 0 1240 616
p 2 0 893 163 7080 1269
b 3 0 1056 0 1558 728
b 3 0 1056 0 1517 713
p 2 0 877 179 6687 1266
b 3 0 1056 0 1168 507
b 3 0 1056 0 1402 623
p 2 0 797 259 6003 1197
b 3 0 1056 0 1728 651
b 3 0 1056 0 1437 652
p 2 0 996 60 6405 1303
b 3 0 1056 0 1310 583
b 3 0 1056 0 1572 712
p 2 0 945 111 6876 1324
b 3 0 1056 0 1317 659
b 3 0 1056 0 1501 800
p 2 0 1015 41 6933 1359
b 3 0 1056 0 1350 706
b 3 0 1056 0 1429 790
p 2 0 996 60 7127 1350
b 3 0 1056 0 1429 755
b 3 0 1056 0 1555 818
p 2 0 1011 45 7260 1398
b 3 0 1056 0 1105 585
b 3 0 1056 0 1186 652
p 2 0 869 187 5758 1262
b 3 0 1056 0 863 634
b 3 0 1056 0 724 593
p 2 0 829 227 5062 1236
b 3 0 1056 0 648 471
b 3 0 1056 0 731 529
p 2 0 759 297 4863 1201
b 3 0 1056 0 834 619
b 3 0 1056 0 797 618
p 2 0 870 186 4544 1210
b 3 0 1056 0 590 433
b 3 0 1056 0 705 450
p 2 0 743 313 4677 1157
b 3 0 1056 0 1183 556
b 3 0 1056 0 1149 569
p 2 0 859 197 6095 1238
b 3 0 1056 0 1215 549
b 3 0 1056 0 1499 620
p 2 0 734 322 6000 1180
b 3 0 1056 0 1136 608
b 3 0 1056 0 1227 644
p 2 0 882 174 5634 1224
b 3 0 1056 0 668 433
b 3 0 1056 0 857 518
p 2 0 754 302 5108 1157
b 3 0 1056 0 463 424
b 3 0 1056 0 506 435
p 2 0 735 321 3631 1097
b 3 0 1056 0 596 430
b 3 0 1056 0 677 457
p 2 0 751 305 4132 1121
b 3 0 1056 0 669 404
b 3 0 1056 0 933 513
p 2 0 995 61 6347 1299
b 3 0 1056 0 770 504
b 3 0 1056 0 847 546
p 2 0 846 210 5872 1191
b 3 0 1056 0 573 489
b 3 0 1056 0 687 562
p 2 0 849 207 4978 1180
b 3 0 1056 0 344 340
b 3 0 1056 0 380 373
p 2 0 709 347 3426 1094
b 3 0 1056 0 406 395
b 3 0 1056 0 447 433
p 2 0 949 107 4318 1211
b 3 0 1056 0 516 433
b 3 0 1056 0 474 400
p 2 0 771 285 4321 1144
b 3 0 1056 0 1421 702
b 3 0 1056 0 1464 719
p 2 0 816 240 6195 1217
b 3 0 1056 0 1426 684
b 3 0 1056 0 1433 696
p 2 0 762 294 6932 1280
b 3 0 1056 0 1592 820
b 3 0 1056 0 1383 811
p 2 0 902 154 6377 1297
b 3 0 1056 0 827 563
b 3 0 1056 0 1030 600
p 2 0 736 320 5363 1166
b 3 0 1056 0 1162 594
b 3 0 1056 0 1158 605
p 2 0 755 301 6115 1189
b 3 0 1056 0 1020 518
b 3 0 1056 0 1372 571
p 2 0 783 273 6063 1189
b 3 0 1056 0 1530 712
b 3 0 1056 0 1426 690
p 2 0 892 164 6832 1298
b 3 0 1056 0 1400 654
b 3 0 1056 0 1494 736
p 2 0 789 267 6888 1268
b 3 0 1056 0 1450 714
b 3 0 1056 0 1547 693
p 2 0 764 292 5971 1220
b 3 0 1056 0 1419 622
b 3 0 1056 0 1510 616
p 2 0 787 269 6384 1207
b 3 0 1056 0 981 636
b 3 0 1056 0 1068 686
p 2 0 841 215 5934 1225
b 3 0 1056 0 960 523
b 3 0 1056 0 917 480
p 2 0 740 316 4846 1147
b 3 0 1056 0 1046 498
b 3 0 1056 0 1143 543
p 2 0 666 390 4197 1106
b 3 0 1056 0 1151 562
b 3 0 1056 0 1175 573
p 2 0 640 416 5342 1144
b 3 0 1056 0 1212 647
b 3 0 1056 0 1372 707
p 2 0 822 234 5753 1222
b 3 0 1056 0 1168 556
b 3 0 1056 0 1066 568
p 2 0 727 329 4969 1169
b 3 0 1056 0 976 511
b 3 0 1056 0 904 522
p 2 0 706 350 5162 1148
b 3 0 1056 0 773 435
b 3 0 1056 0 771 477
p 2 0 655 401 4930 1121
b 3 0 1056 0 1136 642
b 3 0 1056 0 1248 646
p 2 0 837 219 5139 1194
b 3 0 1056 0 1305 519
b 3 0 1056 0 1181 505
p 2 0 713 343 4571 1143
b 3 0 1056 0 677 422
b 3 0 1056 0 678 495
p 2 0 712 344 4929 1119
b 3 0 1056 0 495 394
b 3 0 1056 0 430 344
p 2 0 666 390 4172 1096
b 3 0 1056 0 1057 626
b 3 0 1056 0 1218 632
p 2 0 813 243 5475 1195
b 3 0 1056 0 1509 635
b 3 0 1056 0 1421 623
p 2 0 721 335 6195 1218
b 3 0 1056 0 1656 783
b 3 0 1056 0 1561 734
p 2 0 721 335 7234 1278
b 3 0 1056 0 1360 687
b 3 0 1056 0 1163 639
p 2 0 693 363 6299 1208
b 3 0 1056 0 1248 621
b 3 0 1056 0 1315 612
i 2 1056 0 0 31216 4110
b 3 0 1056 0 1028 661
b 3 0 1056 0 1350 713
p 2 0 871 185 5601 1261
b 3 0 1056 0 1164 629
b 3 0 1056 0 1037 642
p 2 0 848 208 5158 1198
b 3 0 1056 0 553 421
b 3 0 1056 0 654 508
p 2 0 749 307 4868 1158
b 3 0 1056 0 646 572
b 3 0 1056 0 608 554
p 2 0 879 177 5058 1235
b 3 0 1056 0 666 450
b 3 0 1056 0 665 442
p 2 0 795 261 4595 1156
b 3 0 1056 0 597 478
b 3 0 1056 0 674 519
p 2 0 777 279 4660 1142
b 3 0 1056 0 598 413
b 3 0 1056 0 657 427
p 2 0 670 386 4059 1091
b 3 0 1056 0 724 591
b 3 0 1056 0 733 592
p 2 0 775 281 4966 1159
b 3 0 1056 0 723 445
b 3 0 1056 0 797 489
p 2 0 713 343 4701 1122
b 3 0 1056 0 825 502
b 3 0 1056 0 960 553
p 2 0 693 363 5524 1139
b 3 0 1056 0 1030 509
b 3 0 1056 0 1100 540
p 2 0 698 358 6061 1167
b 3 0 1056 0 2874 948
b 3 0 1056 0 2684 955
p 2 30 847 179 8249 1474
b 3 0 1056 0 2397 866
b 3 0 1056 0 2358 803
p 2 15 792 249 9120 1463
b 3 0 1056 0 1926 778
b 3 0 1056 0 2214 834
p 2 0 986 70 8318 1419
b 3 0 1056 0 1419 756
b 3 0 1056 0 1628 834
p 2 7 981 68 8012 1414
b 3 0 1056 0 2726 835
b 3 0 1056 0 2864 831
p 2 25 1028 3 11270 1659
b 3 0 1056 0 3773 1043
b 3 0 1056 0 4042 1322
p 2 27 1019 10 14778 1886
b 3 0 1056 0 3788 1169
b 3 0 1056 0 4333 1517
p 2 39 1009 8 13911 1957
b 3 0 1056 0 2757 1171
b 3 0 1056 0 3145 1200
p 2 3 1030 23 12316 1690
b 3 0 1056 0 2546 989
b 3 0 1056 0 2387 1069
p 2 13 1032 11 10482 1697
b 3 0 1056 0 2573 902
b 3 0 1056 0 3220 1040
p 2 41 979 36 9391 1704
b 3 0 1056 0 3056 1121
b 3 0 1056 0 2461 1031
p 2 30 941 85 8319 1515
b 3 0 1056 0 2227 759
b 3 0 1056 0 2518 917
p 2 3 1033 20 11174 1636
b 3 0 1056 0 2434 993
b 3 0 1056 0 2160 893
p 2 0 1051 5 11322 1563
b 3 0 1056 0 1450 723
b 3 0 1056 0 1601 798
p 2 0 1036 20 8680 1490
b 3 0 1056 0 1735 804
b 3 0 1056 0 1956 864
p 2 0 939 117 6575 1343
b 3 0 1056 0 1192 641
b 3 0 1056 0 1156 673
p 2 0 929 127 6836 1378
b 3 0 1056 0 1607 732
b 3 0 1056 0 1533 825
p 2 0 937 119 6878 1366
b 3 0 1056 0 917 596
b 3 0 1056 0 1060 663
p 2 0 855 201 5839 1268
b 3 0 1056 0 1140 608
b 3 0 1056 0 982 644
p 2 0 791 265 4886 1204
b 3 0 1056 0 803 506
b 3 0 1056 0 1075 541
p 2 0 785 271 5739 1248
b 3 0 1056 0 1474 734
b 3 0 1056 0 1369 697
p 2 1 914 141 6646 1357
b 3 0 1056 0 1205 570
b 3 0 1056 0 1614 694
p 2 0 880 176 6705 1328
b 3 0 1056 0 1591 730
b 3 0 1056 0 1640 758
p 2 0 893 163 7099 1324
b 3 0 1056 0 1441 674
b 3 0 1056 0 1709 756
p 2 0 933 123 8110 1362
b 3 0 1056 0 2143 854
b 3 0 1056 0 2075 843
p 2 1 978 77 8928 1455
b 3 0 1056 0 2285 871
b 3 0 1056 0 2493 902
p 2 4 969 83 9611 1501
b 3 0 1056 0 1560 778
b 3 0 1056 0 1662 895
p 2 0 1017 39 9447 1526
b 3 0 1056 0 1800 761
b 3 0 1056 0 1755 827
p 2 0 911 145 6670 1382
b 3 0 1056 0 1355 785
b 3 0 1056 0 1493 792
p 2 0 971 85 6287 1398
b 3 0 1056 0 1663 647
b 3 0 1056 0 1685 695
p 2 0 966 90 5326 1299
b 3 0 1056 0 1015 628
b 3 0 1056 0 1259 729
p 2 0 881 175 6018 1336
b 3 0 1056 0 1613 681
b 3 0 1056 0 1734 727
p 2 0 844 212 5795 1254
b 3 0 1056 0 1278 716
b 3 0 1056 0 1600 778
p 2 0 937 119 5997 1315
b 3 0 1056 0 1302 674
b 3 0 1056 0 1209 659
p 2 0 887 169 5072 1245
b 3 0 1056 0 1181 632
b 3 0 1056 0 1186 699
p 2 0 917 139 5505 1312
b 3 0 1056 0 1004 590
b 3 0 1056 0 843 580
p 2 0 882 174 5485 1277
b 3 0 1056 0 1037 724
b 3 0 1056 0 1027 636
p 2 1 894 161 5707 1278
b 3 0 1056 0 754 482
b 3 0 1056 0 811 484
p 2 1 912 143 5401 1256
b 3 0 1056 0 746 568
b 3 0 1056 0 854 610
p 2 1 1014 41 6426 1318
b 3 0 1056 0 863 627
b 3 0 1056 0 1047 634
p 2 2 857 197 5574 1268
b 3 0 1056 0 1614 837
b 3 0 1056 0 1689 838
p 2 2 936 118 6453 1331
b 3 0 1056 0 1087 623
b 3 0 1056 0 1193 657
p 2 2 891 163 5885 1326
b 3 0 1056 0 1248 676
b 3 0 1056 0 1399 707
p 2 3 898 155 5592 1292
b 3 0 1056 0 961 561
b 3 0 1056 0 1089 590
p 2 0 921 135 5781 1332
b 3 0 1056 0 1537 707
b 3 0 1056 0 1994 796
p 2 0 993 63 6846 1369
b 3 0 1056 0 1233 611
b 3 0 1056 0 1372 664
p 2 0 974 82 6334 1366
b 3 0 1056 0 1978 792
b 3 0 1056 0 1880 775
p 2 0 975 81 6243 1327
b 3 0 1056 0 1294 651
b 3 0 1056 0 1378 660
p 2 0 1019 37 6661 1393
b 3 0 1056 0 1697 829
b 3 0 1056 0 1652 852
p 2 0 1008 48 7214 1392
b 3 0 1056 0 1213 683
b 3 0 1056 0 1531 771
p 2 0 1012 44 7335 1423
b 3 0 1056 0 1435 871
b 3 0 1056 0 1402 827
p 2 0 983 73 6318 1322
b 3 0 1056 0 1310 698
b 3 0 1056 0 1512 698
p 2 0 942 114 6552 1334
b 3 0 1056 0 1817 832
b 3 0 1056 0 1798 913
p 2 0 937 119 7228 1366
b 3 0 1056 0 1209 669
b 3 0 1056 0 1389 746
p 2 0 888 168 6391 1312
b 3 0 1056 0 1551 707
b 3 0 1056 0 1569 736
p 2 0 830 226 5698 1223
b 3 0 1056 0 916 576
b 3 0 1056 0 1111 625
p 2 0 834 222 6144 1249
b 3 0 1056 0 1092 660
b 3 0 1056 0 1079 710
p 2 0 875 181 5620 1270
b 3 0 1056 0 826 562
b 3 0 1056 0 881 574
p 2 0 832 224 5563 1216
b 3 0 1056 0 1458 678
b 3 0 1056 0 1368 703
p 2 0 845 211 6250 1248
b 3 0 1056 0 1235 638
b 3 0 1056 0 1385 679
p 2 0 928 128 6465 1312
b 3 0 1056 0 1595 813
b 3 0 1056 0 1396 796
p 2 1 987 68 7966 1409
b 3 0 1056 0 1188 686
b 3 0 1056 0 1270 729
p 2 0 1000 56 7419 1372
b 3 0 1056 0 919 679
b 3 0 1056 0 1041 718
p 2 2 891 163 5900 1287
b 3 0 1056 0 827 559
b 3 0 1056 0 937 620
p 2 15 910 131 6130 1334
b 3 0 1056 0 1091 712
b 3 0 1056 0 1296 798
p 2 8 949 99 7201 1416
b 3 0 1056 0 1276 656
b 3 0 1056 0 1356 679
p 2 31 838 187 7072 1426
b 3 0 1056 0 1736 840
b 3 0 1056 0 2176 920
p 2 84 791 181 8475 1657
b 3 0 1056 0 2466 1093
p 2 97 786 173 8510 1780
b 3 0 1056 0 2749 1473
p 2 88 847 121 10146 1951
b 3 0 1056 0 3928 1517
b 3 0 1056 0 3949 1579
p 2 53 884 119 12749 2038
