0, Level_Start 
0 ,020
1234 ,430
2359 ,030
2984 ,031
3641 ,030
3703 ,20
3891 ,031
3938 ,431
5906 ,021
, 29
5906, Level_End 
0, Level_Start 
8719 ,020
9859 ,430
11063 ,030
11688 ,031
12484 ,431
12531 ,330
13688 ,331
13813 ,030
14078 ,031
14281 ,430
14688 ,030
14734 ,20
14938 ,431
15609 ,430
16109 ,030
16781 ,031
17688 ,030
18438 ,431
18484 ,430
18531 ,431
18578 ,031
, 29
18578, Level_End 
0, Level_Start 
21375 ,020
22406 ,430
23609 ,030
24234 ,031
24906 ,431
24938 ,330
25781 ,030
25813 ,20
25859 ,331
26016 ,031
26984 ,030
27656 ,031
28781 ,021
, 29
28781, Level_End 
