0, Level_Start 
0 ,020
1938 ,021
, 49
1938, Level_End 
0, Level_Start 
4844 ,020
6531 ,430
7109 ,030
7781 ,031
9531 ,030
9563 ,431
9781 ,430
10078 ,511
10563 ,031
10609 ,030
10703 ,40
10766 ,00
10953 ,031
11234 ,030
11281 ,00
11328 ,20
11563 ,031
11875 ,030
11906 ,431
12031 ,430
12234 ,031
12406 ,431
12484 ,430
13406 ,030
13813 ,431
13984 ,031
14000 ,021
, 09
14000, Level_End 
0, Level_Start 
16875 ,020
18734 ,430
19063 ,030
19734 ,031
21031 ,030
21703 ,031
22031 ,030
22063 ,00
22109 ,40
22359 ,031
22406 ,431
22734 ,031
, 49
22734, Level_End 
